pdam_00017423-RA  ( 231 ) -> [  Q8NGZ6  | percent(87.01 ) | e_value( 9E-31 ) | protein_name( OR6F1_HUMAN Olfactory receptor 6F1  ) | prob( 99.9 ) | p_value( 2.2E-34 ) | Score( 239.0 ) | SS( 0.0 ) | Cols( 268 ) | QueryHMM( 23-300 ) ]
pdam_00012380-RA  ( 3 ) -> [  O15529  | percent(81.79 ) | e_value( 1.3E-31 ) | protein_name( GPR42_HUMAN G-protein coupled receptor 42  ) | prob( 99.9 ) | p_value( 3.3E-35 ) | Score( 219.9 ) | SS( 0.0 ) | Cols( 283 ) | QueryHMM( 13-297 ) ]

pdam_00006791-RA  ( 3 ) -> [  O43614  | percent(73.20 ) | e_value( 4.7E-45 ) | protein_name( OX2R_HUMAN Orexin receptor type 2  ) | prob( 100.0 ) | p_value( 1.3E-48 ) | Score( 282.8 ) | SS( 0.0 ) | Cols( 325 ) | QueryHMM( 47-389 ) ]

pdam_00014273-RA  ( 3 ) -> [  O75899  | percent(77.26 ) | e_value( 4.9E-86 ) | protein_name( GABR2_HUMAN Gamma-aminobutyric acid type B receptor subunit 2  ) | prob( 100.0 ) | p_value( 1.2E-89 ) | Score( 689.1 ) | SS( 0.0 ) | Cols( 727 ) | QueryHMM( 51-820 ) ]

pdam_00000629-RA  ( 3 ) -> [  P21554  | percent(68.22 ) | e_value( 9.1E-33 ) | protein_name( CNR1_HUMAN Cannabinoid receptor 1  ) | prob( 99.9 ) | p_value( 2.6E-36 ) | Score( 213.5 ) | SS( 0.0 ) | Cols( 322 ) | QueryHMM( 83-419 ) ]

pdam_00019775-RA  ( 3 ) -> [  Q49SQ1  | percent(83.48 ) | e_value( 5E-26 ) | protein_name( GPR33_HUMAN Probable G-protein coupled receptor 33  ) | prob( 99.8 ) | p_value( 1.4E-29 ) | Score( 166.3 ) | SS( 0.0 ) | Cols( 278 ) | QueryHMM( 26-316 ) ]

pdam_00002270-RA  ( 3 ) -> [  P08100  | percent(84.20 ) | e_value( 7.5E-40 ) | protein_name( OPSD_HUMAN Rhodopsin  ) | prob( 100.0 ) | p_value( 2.1E-43 ) | Score( 242.8 ) | SS( 0.0 ) | Cols( 293 ) | QueryHMM( 34-328 ) ]

pdam_00010278-RA  ( 3 ) -> [  P24530  | percent(70.36 ) | e_value( 9.1E-35 ) | protein_name( EDNRB_HUMAN Endothelin receptor type B  ) | prob( 100.0 ) | p_value( 2.6E-38 ) | Score( 221.9 ) | SS( 0.0 ) | Cols( 311 ) | QueryHMM( 100-410 ) ]

pdam_00023339-RA  ( 3 ) -> [  Q9BZJ8  | percent(69.18 ) | e_value( 7.1E-30 ) | protein_name( GPR61_HUMAN G-protein coupled receptor 61  ) | prob( 99.9 ) | p_value( 2E-33 ) | Score( 198.0 ) | SS( 0.0 ) | Cols( 312 ) | QueryHMM( 42-363 ) ]

pdam_00009983-RA  ( 3 ) -> [  Q86SP6  | percent(25.03 ) | e_value( 3.9E-09 ) | protein_name( GP149_HUMAN Probable G-protein coupled receptor 149  ) | prob( 97.8 ) | p_value( 1.1E-12 ) | Score( 85.1 ) | SS( 0.0 ) | Cols( 183 ) | QueryHMM( 30-216 ) ]

pdam_00006723-RA  ( 3 ) -> [  Q9H3N8  | percent(89.49 ) | e_value( 8.8E-38 ) | protein_name( HRH4_HUMAN Histamine H4 receptor  ) | prob( 100.0 ) | p_value( 2.6E-41 ) | Score( 233.6 ) | SS( 0.0 ) | Cols( 349 ) | QueryHMM( 13-381 ) ]

pdam_00020445-RA  ( 3 ) -> [  P48960  | percent(83.71 ) | e_value( 2.3E-74 ) | protein_name( AGRE5_HUMAN Adhesion G protein-coupled receptor E5  ) | prob( 100.0 ) | p_value( 5.6E-78 ) | Score( 612.1 ) | SS( 0.0 ) | Cols( 699 ) | QueryHMM( 34-803 ) ]

pdam_00002659-RA  ( 3 ) -> [  P59540  | percent(92.88 ) | e_value( 9.6E-10 ) | protein_name( T2R46_HUMAN Taste receptor type 2 member 46  ) | prob( 98.0 ) | p_value( 2.8E-13 ) | Score( 75.0 ) | SS( 0.0 ) | Cols( 287 ) | QueryHMM( 9-303 ) ]

pdam_00013619-RA  ( 3 ) -> [  P59541  | percent(38.56 ) | e_value( 6.8E-10 ) | protein_name( T2R30_HUMAN Taste receptor type 2 member 30  ) | prob( 98.0 ) | p_value( 2E-13 ) | Score( 76.8 ) | SS( 0.0 ) | Cols( 123 ) | QueryHMM( 180-302 ) ]

pdam_00010833-RA  ( 3 ) -> [  Q99679  | percent(84.53 ) | e_value( 5E-34 ) | protein_name( GPR21_HUMAN Probable G-protein coupled receptor 21  ) | prob( 99.9 ) | p_value( 1.5E-37 ) | Score( 205.7 ) | SS( 0.0 ) | Cols( 295 ) | QueryHMM( 30-326 ) ]

pdam_00014397-RA  ( 3 ) -> [  Q8IZF7  | percent(67.80 ) | e_value( 2.7E-45 ) | protein_name( AGRF2_HUMAN Adhesion G-protein coupled receptor F2  ) | prob( 100.0 ) | p_value( 6.7E-49 ) | Score( 359.9 ) | SS( 0.0 ) | Cols( 480 ) | QueryHMM( 184-689 ) ]

pdam_00009894-RA  ( 3 ) -> [  Q9Y653  | percent(58.73 ) | e_value( 1.7E-44 ) | protein_name( AGRG1_HUMAN Adhesion G-protein coupled receptor G1  ) | prob( 100.0 ) | p_value( 3.8E-48 ) | Score( 423.3 ) | SS( 0.0 ) | Cols( 407 ) | QueryHMM( 241-667 ) ]

pdam_00004707-RA  ( 3 ) -> [  Q9NYQ7  | percent(44.81 ) | e_value( 7E-156 ) | protein_name( CELR3_HUMAN Cadherin EGF LAG seven-pass G-type receptor 3  ) | prob( 100.0 ) | p_value( 1E-159 ) | Score( 1527.7 ) | SS( 0.0 ) | Cols( 1484 ) | QueryHMM( 323-1914 ) ]

pdam_00020795-RA  ( 2 ) -> [  P25103  | percent(74.20 ) | e_value( 9.9E-42 ) | protein_name( NK1R_HUMAN Substance-P receptor  ) | prob( 100.0 ) | p_value( 2.9E-45 ) | Score( 262.8 ) | SS( 0.0 ) | Cols( 302 ) | QueryHMM( 23-325 ) ]

pdam_00021435-RA  ( 2 ) -> [  O14842  | percent(85.67 ) | e_value( 1.3E-15 ) | protein_name( FFAR1_HUMAN Free fatty acid receptor 1  ) | prob( 99.2 ) | p_value( 3.7E-19 ) | Score( 110.9 ) | SS( 0.0 ) | Cols( 257 ) | QueryHMM( 10-281 ) ]

pdam_00013144-RA  ( 2 ) -> [  O95490  | percent(41.40 ) | e_value( 3.8E-70 ) | protein_name( AGRL2_HUMAN Adhesion G protein-coupled receptor L2  ) | prob( 100.0 ) | p_value( 1E-73 ) | Score( 584.5 ) | SS( 0.0 ) | Cols( 604 ) | QueryHMM( 466-1100 ) ]

pdam_00014558-RA  ( 2 ) -> [  Q9Y2T6  | percent(88.40 ) | e_value( 7.5E-23 ) | protein_name( GPR55_HUMAN G-protein coupled receptor 55  ) | prob( 99.7 ) | p_value( 2.2E-26 ) | Score( 147.0 ) | SS( 0.0 ) | Cols( 282 ) | QueryHMM( 13-301 ) ]

pdam_00011350-RA  ( 2 ) -> [  P0DMS8  | percent(90.57 ) | e_value( 9E-34 ) | protein_name( AA3R_HUMAN Adenosine receptor A3  ) | prob( 99.9 ) | p_value( 2.6E-37 ) | Score( 203.7 ) | SS( 0.0 ) | Cols( 288 ) | QueryHMM( 13-305 ) ]

pdam_00003094-RA  ( 2 ) -> [  P16473  | percent(63.74 ) | e_value( 4.3E-42 ) | protein_name( TSHR_HUMAN Thyrotropin receptor  ) | prob( 100.0 ) | p_value( 9.7E-46 ) | Score( 348.6 ) | SS( 0.0 ) | Cols( 487 ) | QueryHMM( 15-693 ) ]

pdam_00000388-RA  ( 2 ) -> [  P21453  | percent(75.65 ) | e_value( 5.7E-34 ) | protein_name( S1PR1_HUMAN Sphingosine 1-phosphate receptor 1  ) | prob( 99.9 ) | p_value( 1.6E-37 ) | Score( 223.1 ) | SS( 0.0 ) | Cols( 289 ) | QueryHMM( 44-333 ) ]

pdam_00016628-RA  ( 2 ) -> [  Q9NSD7  | percent(64.61 ) | e_value( 8.5E-33 ) | protein_name( RL3R1_HUMAN Relaxin-3 receptor 1  ) | prob( 99.9 ) | p_value( 2.4E-36 ) | Score( 211.9 ) | SS( 0.0 ) | Cols( 303 ) | QueryHMM( 78-409 ) ]

pdam_00002662-RA  ( 2 ) -> [  P28223  | percent(67.09 ) | e_value( 5.3E-39 ) | protein_name( 5HT2A_HUMAN 5-hydroxytryptamine receptor 2A  ) | prob( 100.0 ) | p_value( 1.5E-42 ) | Score( 251.4 ) | SS( 0.0 ) | Cols( 316 ) | QueryHMM( 78-397 ) ]

pdam_00009675-RA  ( 2 ) -> [  P60893  | percent(89.19 ) | e_value( 9.7E-30 ) | protein_name( GPR85_HUMAN Probable G-protein coupled receptor 85  ) | prob( 99.9 ) | p_value( 2.8E-33 ) | Score( 188.5 ) | SS( 0.0 ) | Cols( 330 ) | QueryHMM( 21-358 ) ]

pdam_00022371-RA  ( 2 ) -> [  Q9HBX9  | percent(70.28 ) | e_value( 6.4E-52 ) | protein_name( RXFP1_HUMAN Relaxin receptor 1  ) | prob( 100.0 ) | p_value( 1.7E-55 ) | Score( 386.7 ) | SS( 0.0 ) | Cols( 532 ) | QueryHMM( 141-697 ) ]

pdam_00006829-RA  ( 2 ) -> [  P32245  | percent(80.42 ) | e_value( 2.4E-32 ) | protein_name( MC4R_HUMAN Melanocortin receptor 4  ) | prob( 99.9 ) | p_value( 6.7E-36 ) | Score( 199.2 ) | SS( 0.0 ) | Cols( 267 ) | QueryHMM( 48-320 ) ]

pdam_00022109-RA  ( 2 ) -> [  P33032  | percent(84.31 ) | e_value( 4.7E-33 ) | protein_name( MC5R_HUMAN Melanocortin receptor 5  ) | prob( 99.9 ) | p_value( 1.3E-36 ) | Score( 203.6 ) | SS( 0.0 ) | Cols( 274 ) | QueryHMM( 38-318 ) ]

pdam_00018418-RA  ( 2 ) -> [  P46089  | percent(83.94 ) | e_value( 7.2E-26 ) | protein_name( GPR3_HUMAN G-protein coupled receptor 3  ) | prob( 99.8 ) | p_value( 2.1E-29 ) | Score( 166.5 ) | SS( 0.0 ) | Cols( 277 ) | QueryHMM( 43-319 ) ]

pdam_00011848-RA  ( 2 ) -> [  P49019  | percent(74.42 ) | e_value( 3.2E-32 ) | protein_name( HCAR3_HUMAN Hydroxycarboxylic acid receptor 3  ) | prob( 99.9 ) | p_value( 9.5E-36 ) | Score( 203.0 ) | SS( 0.0 ) | Cols( 288 ) | QueryHMM( 28-318 ) ]

pdam_00022798-RA  ( 2 ) -> [  P59543  | percent(91.59 ) | e_value( 2.3E-10 ) | protein_name( T2R20_HUMAN Taste receptor type 2 member 20  ) | prob( 98.1 ) | p_value( 6.6E-14 ) | Score( 78.7 ) | SS( 0.0 ) | Cols( 283 ) | QueryHMM( 6-299 ) ]

pdam_00017219-RA  ( 2 ) -> [  P59535  | percent(86.38 ) | e_value( 3.4E-07 ) | protein_name( T2R40_HUMAN Taste receptor type 2 member 40  ) | prob( 97.0 ) | p_value( 9.7E-11 ) | Score( 63.4 ) | SS( 0.0 ) | Cols( 279 ) | QueryHMM( 17-311 ) ]

pdam_00001145-RA  ( 2 ) -> [  P59536  | percent(91.21 ) | e_value( 3.2E-10 ) | protein_name( T2R41_HUMAN Taste receptor type 2 member 41  ) | prob( 98.1 ) | p_value( 9.3E-14 ) | Score( 77.8 ) | SS( 0.0 ) | Cols( 280 ) | QueryHMM( 8-299 ) ]

pdam_00013621-RA  ( 2 ) -> [  P59542  | percent(39.13 ) | e_value( 4.4E-08 ) | protein_name( T2R19_HUMAN Taste receptor type 2 member 19  ) | prob( 97.4 ) | p_value( 1.3E-11 ) | Score( 65.3 ) | SS( 0.0 ) | Cols( 117 ) | QueryHMM( 180-296 ) ]

pdam_00009128-RA  ( 2 ) -> [  Q6PRD1  | percent(29.62 ) | e_value( 1E-60 ) | protein_name( GP179_HUMAN Probable G-protein coupled receptor 179  ) | prob( 100.0 ) | p_value( 2.3E-64 ) | Score( 537.8 ) | SS( 0.0 ) | Cols( 701 ) | QueryHMM( 11-728 ) ]

pdam_00005376-RA  ( 2 ) -> [  Q8NGI3  | percent(87.35 ) | e_value( 4.2E-23 ) | protein_name( O56B1_HUMAN Olfactory receptor 56B1  ) | prob( 99.7 ) | p_value( 1.2E-26 ) | Score( 167.9 ) | SS( 0.0 ) | Cols( 283 ) | QueryHMM( 22-316 ) ]

pdam_00017992-RA  ( 2 ) -> [  Q8IZF6  | percent(20.62 ) | e_value( 4E-60 ) | protein_name( AGRG4_HUMAN Adhesion G-protein coupled receptor G4  ) | prob( 100.0 ) | p_value( 9.6E-64 ) | Score( 573.2 ) | SS( 0.0 ) | Cols( 635 ) | QueryHMM( 2374-3017 ) ]

pdam_00017745-RA  ( 2 ) -> [  Q96PE1  | percent(63.08 ) | e_value( 5E-59 ) | protein_name( AGRA2_HUMAN Adhesion G protein-coupled receptor A2  ) | prob( 100.0 ) | p_value( 8.5E-63 ) | Score( 534.4 ) | SS( 0.0 ) | Cols( 844 ) | QueryHMM( 32-945 ) ]

pdam_00010275-RA  ( 2 ) -> [  Q8IYL9  | percent(90.21 ) | e_value( 2.8E-31 ) | protein_name( PSYR_HUMAN Psychosine receptor  ) | prob( 99.9 ) | p_value( 8E-35 ) | Score( 193.5 ) | SS( 0.0 ) | Cols( 304 ) | QueryHMM( 10-314 ) ]

pdam_00000369-RA  ( 2 ) -> [  Q8IZF2  | percent(67.01 ) | e_value( 5.7E-54 ) | protein_name( AGRF5_HUMAN Adhesion G protein-coupled receptor F5  ) | prob( 100.0 ) | p_value( 1.5E-57 ) | Score( 468.7 ) | SS( 0.0 ) | Cols( 902 ) | QueryHMM( 333-1281 ) ]

pdam_00019148-RA  ( 2 ) -> [  Q96P69  | percent(81.54 ) | e_value( 9.9E-23 ) | protein_name( GPR78_HUMAN G-protein coupled receptor 78  ) | prob( 99.7 ) | p_value( 2.9E-26 ) | Score( 146.7 ) | SS( 0.0 ) | Cols( 296 ) | QueryHMM( 17-318 ) ]

pdam_00010469-RA  ( 2 ) -> [  Q96LA9  | percent(79.50 ) | e_value( 2.6E-23 ) | protein_name( MRGX4_HUMAN Mas-related G-protein coupled receptor member X4  ) | prob( 99.7 ) | p_value( 7.6E-27 ) | Score( 148.1 ) | SS( 0.0 ) | Cols( 256 ) | QueryHMM( 29-294 ) ]

pdam_00001928-RA  ( 2 ) -> [  Q9BZJ6  | percent(75.18 ) | e_value( 8.8E-33 ) | protein_name( GPR63_HUMAN Probable G-protein coupled receptor 63  ) | prob( 99.9 ) | p_value( 2.6E-36 ) | Score( 211.9 ) | SS( 0.0 ) | Cols( 315 ) | QueryHMM( 76-392 ) ]

pdam_00007436-RA  ( 2 ) -> [  Q9NPC1  | percent(75.98 ) | e_value( 4.8E-23 ) | protein_name( LT4R2_HUMAN Leukotriene B4 receptor 2  ) | prob( 99.7 ) | p_value( 1.4E-26 ) | Score( 153.3 ) | SS( 0.0 ) | Cols( 272 ) | QueryHMM( 20-304 ) ]

pdam_00010725-RA  ( 2 ) -> [  Q9Y5X5  | percent(55.17 ) | e_value( 5.3E-41 ) | protein_name( NPFF2_HUMAN Neuropeptide FF receptor 2  ) | prob( 100.0 ) | p_value( 1.5E-44 ) | Score( 275.1 ) | SS( 0.0 ) | Cols( 288 ) | QueryHMM( 145-459 ) ]

pdam_00017022-RA  ( 1 ) -> [  O00270  | percent(93.10 ) | e_value( 4.3E-32 ) | protein_name( GPR31_HUMAN 12-(S)-hydroxy-5

pdam_00012138-RA  ( 1 ) -> [  O00398  | percent(83.19 ) | e_value( 1.5E-27 ) | protein_name( P2Y10_HUMAN Putative P2Y purinoceptor 10  ) | prob( 99.9 ) | p_value( 4.2E-31 ) | Score( 176.6 ) | SS( 0.0 ) | Cols( 282 ) | QueryHMM( 31-318 ) ]

pdam_00017883-RA  ( 1 ) -> [  O14626  | percent(92.16 ) | e_value( 2.7E-22 ) | protein_name( GP171_HUMAN Probable G-protein coupled receptor 171  ) | prob( 99.7 ) | p_value( 8E-26 ) | Score( 143.8 ) | SS( 0.0 ) | Cols( 294 ) | QueryHMM( 1-302 ) ]

pdam_00000851-RA  ( 1 ) -> [  O15354  | percent(48.12 ) | e_value( 3.3E-25 ) | protein_name( GPR37_HUMAN Prosaposin receptor GPR37  ) | prob( 99.8 ) | p_value( 9.5E-29 ) | Score( 177.4 ) | SS( 0.0 ) | Cols( 295 ) | QueryHMM( 263-572 ) ]

pdam_00017482-RA  ( 1 ) -> [  O43194  | percent(77.92 ) | e_value( 1.1E-31 ) | protein_name( GPR39_HUMAN G-protein coupled receptor 39  ) | prob( 99.9 ) | p_value( 2.6E-35 ) | Score( 243.2 ) | SS( 0.0 ) | Cols( 353 ) | QueryHMM( 34-450 ) ]

pdam_00012136-RA  ( 1 ) -> [  O43613  | percent(77.65 ) | e_value( 1.7E-41 ) | protein_name( OX1R_HUMAN Orexin receptor type 1  ) | prob( 100.0 ) | p_value( 4.6E-45 ) | Score( 280.0 ) | SS( 0.0 ) | Cols( 330 ) | QueryHMM( 41-377 ) ]

pdam_00019809-RA  ( 1 ) -> [  O60883  | percent(62.99 ) | e_value( 5.9E-22 ) | protein_name( G37L1_HUMAN G-protein coupled receptor 37-like 1  ) | prob( 99.7 ) | p_value( 1.7E-25 ) | Score( 151.7 ) | SS( 0.0 ) | Cols( 303 ) | QueryHMM( 130-441 ) ]

pdam_00022321-RA  ( 1 ) -> [  O95800  | percent(74.26 ) | e_value( 7.6E-26 ) | protein_name( GPR75_HUMAN Probable G-protein coupled receptor 75  ) | prob( 99.8 ) | p_value( 1.9E-29 ) | Score( 199.2 ) | SS( 0.0 ) | Cols( 401 ) | QueryHMM( 44-540 ) ]

pdam_00000887-RA  ( 1 ) -> [  P14416  | percent(40.63 ) | e_value( 3.2E-46 ) | protein_name( DRD2_HUMAN D(2) dopamine receptor  ) | prob( 100.0 ) | p_value( 8.5E-50 ) | Score( 322.5 ) | SS( 0.0 ) | Cols( 180 ) | QueryHMM( 36-225 ) ]

pdam_00004106-RA  ( 1 ) -> [  P21730  | percent(81.14 ) | e_value( 3.2E-33 ) | protein_name( C5AR1_HUMAN C5a anaphylatoxin chemotactic receptor 1  ) | prob( 99.9 ) | p_value( 9.1E-37 ) | Score( 207.1 ) | SS( 0.0 ) | Cols( 284 ) | QueryHMM( 33-320 ) ]

pdam_00003148-RA  ( 1 ) -> [  P25090  | percent(83.76 ) | e_value( 4.2E-34 ) | protein_name( FPR2_HUMAN N-formyl peptide receptor 2  ) | prob( 99.9 ) | p_value( 1.2E-37 ) | Score( 217.7 ) | SS( 0.0 ) | Cols( 294 ) | QueryHMM( 14-319 ) ]

pdam_00023044-RA  ( 1 ) -> [  P30559  | percent(79.18 ) | e_value( 3.5E-35 ) | protein_name( OXYR_HUMAN Oxytocin receptor  ) | prob( 100.0 ) | p_value( 1E-38 ) | Score( 227.7 ) | SS( 0.0 ) | Cols( 308 ) | QueryHMM( 37-345 ) ]

